"Date","Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 5 year (75% LTV) fixed rate mortgage to households (in percent) not seasonally adjusted  						[a] [b] 						IUMBV42"
"30 Jun 26","4.65"
"31 May 26","4.8"
"30 Apr 26","4.98"
"31 Mar 26","4.42"
"28 Feb 26","4"
"31 Jan 26","3.94"
"31 Dec 25","3.99"
"30 Nov 25","4.06"
"31 Oct 25","4.17"
"30 Sep 25","4.16"
"31 Aug 25","4.11"
"31 Jul 25","4.15"
"30 Jun 25","4.26"
"31 May 25","4.19"
"30 Apr 25","4.29"
"31 Mar 25","4.32"
"28 Feb 25","4.38"
"31 Jan 25","4.37"
"31 Dec 24","4.37"
"30 Nov 24","4.29"
"31 Oct 24","4.06"
"30 Sep 24","4.09"
"31 Aug 24","4.33"
"31 Jul 24","4.49"
"30 Jun 24","4.64"
"31 May 24","4.66"
"30 Apr 24","4.51"
"31 Mar 24","4.53"
"29 Feb 24","4.41"
"31 Jan 24","4.43"
"31 Dec 23","4.68"
"30 Nov 23","4.89"
"31 Oct 23","5.02"
"30 Sep 23","5.24"
"31 Aug 23","5.53"
"31 Jul 23","5.71"
"30 Jun 23","4.95"
"31 May 23","4.28"
"30 Apr 23","4.16"
"31 Mar 23","4.26"
"28 Feb 23","4.36"
"31 Jan 23","4.66"
"31 Dec 22","5.05"
"30 Nov 22","5.5"
"31 Oct 22","5.61"
"30 Sep 22","3.97"
"31 Aug 22","3.61"
"31 Jul 22","3.43"
"30 Jun 22","2.9"
"31 May 22","2.62"
"30 Apr 22","2.35"
"31 Mar 22","2.11"
"28 Feb 22","1.79"
"31 Jan 22","1.63"
"31 Dec 21","1.59"
"30 Nov 21","1.52"
"31 Oct 21","1.3"
"30 Sep 21","1.28"
"31 Aug 21","1.39"
"31 Jul 21","1.45"
"30 Jun 21","1.6"
"31 May 21","1.68"
"30 Apr 21","1.71"
"31 Mar 21","1.74"
"28 Feb 21","1.8"
"31 Jan 21","1.92"


