series_code,label,candidate_id,model_family,model_name,order,seasonal_order,AIC,BIC,MAE,RMSE,sMAPE_pct,status,fit_warning,differencing_order,training_observations,test_observations
LPMAUYN,M4 / monetary aggregate,"sarima_(1, 1, 1)_(0, 1, 1, 12)",SARIMA,"SARIMA(1, 1, 1)×(0, 1, 1, 12)","(1, 1, 1)","(0, 1, 1, 12)",994.1679597004363,999.2003458525222,14505.248802392549,18135.07083250665,0.44972117189447264,success,,1,53,12
IUDBEDR,Official Bank Rate,"sarima_(0, 1, 0)_(0, 0, 0, 0)",SARIMA,"SARIMA(0, 1, 0)×(0, 0, 0, 0)","(0, 1, 0)","(0, 0, 0, 0)",-4879.287767811471,-4874.03147057178,0.0,0.0,0.0,success,,1,1419,30
IUDSOIA,SONIA,"sarima_(0, 1, 1)_(0, 0, 0, 0)",SARIMA,"SARIMA(0, 1, 1)×(0, 0, 0, 0)","(0, 1, 1)","(0, 0, 0, 0)",-4885.963162048911,-4875.453392428756,0.0007937136281442362,0.0009361218474009229,0.02127874748895222,success,,1,1418,30
IUMBV34,2-year fixed mortgage rate,"sarima_(1, 1, 0)_(1, 0, 0, 12)",SARIMA,"SARIMA(1, 1, 0)×(1, 0, 0, 12)","(1, 1, 0)","(1, 0, 0, 12)",40.37337434506778,45.44001270740959,0.33800698035028737,0.3908674767512646,7.68644624261881,success,,1,54,12
IUMBV42,5-year fixed mortgage rate,holt_damped,Holt,Holt damped trend,,,-116.06822460850633,-106.12330437568495,0.2773417859425079,0.3294980379841641,6.378137436843186,success,,1,54,12
LPMVZRI,Consumer credit,ets_seasonal,ETS seasonal,Seasonal ETS (m=12),,,-455.14837892090856,-426.8678309367046,1468.6195953822025,1689.2771146108223,0.28474315751985607,success,,1,39,12
XUDLUSS,GBP/USD,"sarima_(1, 1, 1)_(0, 0, 0, 0)",SARIMA,"SARIMA(1, 1, 1)×(0, 0, 0, 0)","(1, 1, 1)","(0, 0, 0, 0)",-10198.282902492716,-10182.516128669955,0.008053720886579149,0.009109207777268175,0.6040227765140652,success,,1,1419,30
XUDLERS,GBP/EUR,"sarima_(0, 0, 2)_(0, 0, 0, 0)",SARIMA,"SARIMA(0, 0, 2)×(0, 0, 0, 0)","(0, 0, 2)","(0, 0, 0, 0)",-9524.092680344613,-9503.070315247598,0.00683117276810304,0.007575240788589891,0.5858371301747439,success,,0,1419,30
